Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1154
[OVERALL], Throughput(ops/sec), 866.5511265164645
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 497
[READ], AverageLatency(us), 544.4346076458753
[READ], MinLatency(us), 246
[READ], MaxLatency(us), 4025
[READ], 95thPercentileLatency(us), 960
[READ], 99thPercentileLatency(us), 2473
[READ], Return=OK, 497
[READ], 246, 1.0
[READ], 249, 1.0
[READ], 251, 1.0
[READ], 253, 2.0
[READ], 259, 2.0
[READ], 263, 2.0
[READ], 266, 1.0
[READ], 267, 1.0
[READ], 269, 1.0
[READ], 272, 1.0
[READ], 273, 1.0
[READ], 275, 1.0
[READ], 276, 1.0
[READ], 284, 1.0
[READ], 285, 1.0
[READ], 287, 1.0
[READ], 288, 1.0
[READ], 291, 1.0
[READ], 292, 1.0
[READ], 293, 3.0
[READ], 297, 1.0
[READ], 298, 2.0
[READ], 299, 1.0
[READ], 300, 1.0
[READ], 302, 2.0
[READ], 303, 2.0
[READ], 305, 2.0
[READ], 306, 2.0
[READ], 307, 2.0
[READ], 308, 1.0
[READ], 309, 1.0
[READ], 310, 2.0
[READ], 311, 1.0
[READ], 312, 2.0
[READ], 314, 1.0
[READ], 315, 3.0
[READ], 316, 2.0
[READ], 317, 2.0
[READ], 319, 3.0
[READ], 322, 1.0
[READ], 323, 1.0
[READ], 324, 2.0
[READ], 325, 1.0
[READ], 326, 2.0
[READ], 327, 1.0
[READ], 328, 2.0
[READ], 329, 2.0
[READ], 331, 1.0
[READ], 333, 2.0
[READ], 334, 2.0
[READ], 335, 2.0
[READ], 336, 2.0
[READ], 337, 1.0
[READ], 339, 1.0
[READ], 340, 1.0
[READ], 341, 2.0
[READ], 342, 2.0
[READ], 344, 1.0
[READ], 345, 3.0
[READ], 346, 1.0
[READ], 348, 1.0
[READ], 349, 2.0
[READ], 350, 1.0
[READ], 353, 5.0
[READ], 354, 1.0
[READ], 355, 1.0
[READ], 356, 1.0
[READ], 358, 2.0
[READ], 361, 3.0
[READ], 362, 1.0
[READ], 363, 2.0
[READ], 364, 1.0
[READ], 365, 1.0
[READ], 366, 4.0
[READ], 367, 2.0
[READ], 368, 2.0
[READ], 369, 4.0
[READ], 370, 2.0
[READ], 371, 2.0
[READ], 372, 1.0
[READ], 373, 2.0
[READ], 375, 1.0
[READ], 376, 1.0
[READ], 377, 3.0
[READ], 378, 3.0
[READ], 380, 1.0
[READ], 382, 2.0
[READ], 384, 1.0
[READ], 386, 2.0
[READ], 388, 3.0
[READ], 389, 3.0
[READ], 390, 1.0
[READ], 391, 1.0
[READ], 392, 1.0
[READ], 393, 4.0
[READ], 394, 4.0
[READ], 395, 2.0
[READ], 396, 1.0
[READ], 397, 2.0
[READ], 398, 4.0
[READ], 400, 1.0
[READ], 401, 2.0
[READ], 402, 1.0
[READ], 403, 2.0
[READ], 404, 1.0
[READ], 406, 2.0
[READ], 407, 2.0
[READ], 408, 2.0
[READ], 409, 1.0
[READ], 410, 1.0
[READ], 412, 4.0
[READ], 413, 1.0
[READ], 414, 3.0
[READ], 415, 2.0
[READ], 417, 1.0
[READ], 418, 2.0
[READ], 419, 2.0
[READ], 420, 1.0
[READ], 422, 1.0
[READ], 423, 1.0
[READ], 424, 1.0
[READ], 425, 2.0
[READ], 426, 2.0
[READ], 427, 2.0
[READ], 429, 3.0
[READ], 430, 2.0
[READ], 432, 5.0
