Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1701
[OVERALL], Throughput(ops/sec), 587.8894767783656
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 936
[READ], AverageLatency(us), 856.1346153846154
[READ], MinLatency(us), 200
[READ], MaxLatency(us), 16911
[READ], 95thPercentileLatency(us), 2147
[READ], 99thPercentileLatency(us), 5859
[READ], Return=OK, 936
[READ], 200, 1.0
[READ], 221, 1.0
[READ], 235, 1.0
[READ], 240, 1.0
[READ], 241, 1.0
[READ], 244, 1.0
[READ], 248, 1.0
[READ], 250, 1.0
[READ], 252, 1.0
[READ], 254, 1.0
[READ], 256, 1.0
[READ], 258, 1.0
[READ], 259, 1.0
[READ], 263, 1.0
[READ], 266, 2.0
[READ], 270, 1.0
[READ], 271, 1.0
[READ], 273, 2.0
[READ], 274, 1.0
[READ], 275, 1.0
[READ], 276, 1.0
[READ], 277, 3.0
[READ], 279, 3.0
[READ], 280, 2.0
[READ], 284, 2.0
[READ], 285, 1.0
[READ], 286, 1.0
[READ], 287, 2.0
[READ], 288, 2.0
[READ], 289, 1.0
[READ], 290, 1.0
[READ], 292, 1.0
[READ], 293, 1.0
[READ], 295, 3.0
[READ], 297, 2.0
[READ], 298, 2.0
[READ], 299, 1.0
[READ], 300, 5.0
[READ], 301, 2.0
[READ], 302, 5.0
[READ], 303, 1.0
[READ], 304, 4.0
[READ], 305, 4.0
[READ], 306, 1.0
[READ], 307, 1.0
[READ], 308, 1.0
[READ], 310, 3.0
[READ], 311, 4.0
[READ], 314, 1.0
[READ], 315, 3.0
[READ], 316, 1.0
[READ], 317, 1.0
[READ], 318, 3.0
[READ], 319, 2.0
[READ], 320, 4.0
[READ], 322, 1.0
[READ], 323, 3.0
[READ], 324, 4.0
[READ], 325, 2.0
[READ], 326, 3.0
[READ], 327, 1.0
[READ], 329, 1.0
[READ], 330, 3.0
[READ], 331, 4.0
[READ], 332, 2.0
[READ], 333, 2.0
[READ], 334, 1.0
[READ], 335, 1.0
[READ], 337, 1.0
[READ], 338, 2.0
[READ], 339, 1.0
[READ], 340, 2.0
[READ], 341, 3.0
[READ], 342, 2.0
[READ], 345, 1.0
[READ], 346, 2.0
[READ], 347, 1.0
[READ], 348, 1.0
[READ], 350, 1.0
[READ], 351, 1.0
[READ], 352, 1.0
[READ], 353, 2.0
[READ], 354, 1.0
[READ], 355, 1.0
[READ], 356, 1.0
[READ], 357, 4.0
[READ], 358, 4.0
[READ], 359, 1.0
[READ], 362, 2.0
[READ], 364, 2.0
[READ], 366, 3.0
[READ], 367, 1.0
[READ], 370, 2.0
[READ], 371, 3.0
[READ], 372, 1.0
[READ], 374, 3.0
[READ], 375, 2.0
[READ], 377, 1.0
[READ], 379, 3.0
[READ], 380, 1.0
[READ], 381, 3.0
[READ], 382, 4.0
[READ], 384, 2.0
[READ], 385, 3.0
[READ], 386, 2.0
[READ], 387, 1.0
[READ], 388, 2.0
[READ], 389, 1.0
[READ], 391, 2.0
[READ], 392, 1.0
[READ], 393, 2.0
[READ], 394, 1.0
[READ], 395, 1.0
[READ], 396, 2.0
[READ], 397, 1.0
[READ], 400, 1.0
[READ], 401, 1.0
[READ], 403, 1.0
[READ], 404, 1.0
[READ], 405, 1.0
[READ], 406, 3.0
[READ], 407, 3.0
[READ], 408, 1.0
[READ], 409, 1.0
[READ], 410, 4.0
[READ], 412, 1.0
[READ], 413, 1.0
[READ], 414, 3.0
[READ], 415, 2.0
[READ], 416, 1.0
[READ], 417, 3.0
[READ], 421, 3.0
[READ], 422, 1.0
[READ], 423, 3.0
[READ], 424, 1.0
[READ], 425, 1.0
[READ], 428, 1.0
[READ], 429, 3.0
[READ], 430, 3.0
[READ], 432, 2.0
[READ], 434, 1.0
[READ], 436, 2.0
[READ], 437, 3.0
[READ], 439, 1.0
[READ], 440, 3.0
[READ], 442, 1.0
[READ], 443, 1.0
[READ], 444, 2.0
[READ], 446, 3.0
[READ], 447, 2.0
[READ], 449, 1.0
[READ], 451, 1.0
[READ], 453, 1.0
[READ], 454, 5.0
[READ], 455, 2.0
[READ], 456, 3.0
[READ], 457, 2.0
[READ], 458, 3.0
[READ], 459, 2.0
[READ], 460, 1.0
[READ], 461, 3.0
[READ], 462, 1.0
[READ], 463, 2.0
[READ], 464, 2.0
[READ], 466, 2.0
[READ], 467, 2.0
[READ], 468, 1.0
[READ], 469, 2.0
