Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 2259
[OVERALL], Throughput(ops/sec), 442.67374944665784
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 1000
[READ], AverageLatency(us), 1106.636
[READ], MinLatency(us), 230
[READ], MaxLatency(us), 61951
[READ], 95thPercentileLatency(us), 3097
[READ], 99thPercentileLatency(us), 6955
[READ], Return=OK, 1000
[READ], 230, 1.0
[READ], 240, 1.0
[READ], 248, 1.0
[READ], 257, 1.0
[READ], 259, 1.0
[READ], 261, 1.0
[READ], 262, 1.0
[READ], 263, 1.0
[READ], 270, 1.0
[READ], 273, 1.0
[READ], 276, 1.0
[READ], 278, 2.0
[READ], 282, 1.0
[READ], 283, 1.0
[READ], 284, 2.0
[READ], 285, 1.0
[READ], 287, 1.0
[READ], 290, 1.0
[READ], 293, 3.0
[READ], 294, 1.0
[READ], 299, 1.0
[READ], 303, 2.0
[READ], 305, 1.0
[READ], 306, 2.0
[READ], 308, 2.0
[READ], 310, 1.0
[READ], 312, 1.0
[READ], 313, 1.0
[READ], 317, 1.0
[READ], 318, 1.0
[READ], 319, 1.0
[READ], 321, 2.0
[READ], 322, 1.0
[READ], 323, 1.0
[READ], 324, 2.0
[READ], 327, 1.0
[READ], 328, 3.0
[READ], 329, 1.0
[READ], 330, 1.0
[READ], 331, 1.0
[READ], 332, 1.0
[READ], 333, 2.0
[READ], 334, 1.0
[READ], 335, 1.0
[READ], 336, 1.0
[READ], 337, 3.0
[READ], 339, 1.0
[READ], 340, 2.0
[READ], 341, 1.0
[READ], 342, 1.0
[READ], 345, 1.0
[READ], 346, 3.0
[READ], 347, 1.0
[READ], 348, 1.0
[READ], 349, 2.0
[READ], 350, 1.0
[READ], 351, 1.0
[READ], 352, 1.0
[READ], 353, 1.0
[READ], 354, 2.0
[READ], 357, 3.0
[READ], 358, 1.0
[READ], 359, 3.0
[READ], 360, 1.0
[READ], 361, 2.0
[READ], 362, 1.0
[READ], 363, 1.0
[READ], 364, 2.0
[READ], 365, 5.0
[READ], 367, 2.0
[READ], 368, 2.0
[READ], 369, 2.0
[READ], 372, 2.0
[READ], 373, 1.0
[READ], 374, 2.0
[READ], 375, 2.0
[READ], 376, 1.0
[READ], 377, 2.0
[READ], 378, 2.0
[READ], 379, 1.0
[READ], 381, 3.0
[READ], 382, 2.0
[READ], 383, 1.0
[READ], 384, 1.0
[READ], 386, 1.0
[READ], 387, 4.0
[READ], 388, 4.0
[READ], 389, 2.0
[READ], 391, 2.0
[READ], 394, 1.0
[READ], 395, 2.0
[READ], 396, 4.0
[READ], 399, 3.0
[READ], 400, 1.0
[READ], 401, 3.0
[READ], 403, 2.0
[READ], 404, 1.0
[READ], 405, 2.0
[READ], 406, 1.0
[READ], 408, 1.0
[READ], 410, 2.0
[READ], 411, 1.0
[READ], 412, 2.0
[READ], 414, 1.0
[READ], 415, 2.0
[READ], 416, 2.0
[READ], 417, 1.0
[READ], 418, 1.0
[READ], 419, 1.0
[READ], 421, 1.0
[READ], 423, 3.0
[READ], 424, 1.0
[READ], 426, 1.0
[READ], 427, 1.0
[READ], 428, 2.0
[READ], 429, 1.0
[READ], 430, 1.0
[READ], 431, 1.0
[READ], 432, 1.0
[READ], 433, 1.0
[READ], 434, 2.0
[READ], 435, 1.0
[READ], 436, 2.0
[READ], 437, 1.0
[READ], 438, 2.0
[READ], 440, 3.0
[READ], 442, 2.0
[READ], 443, 3.0
[READ], 444, 2.0
[READ], 445, 1.0
[READ], 446, 1.0
[READ], 447, 1.0
[READ], 449, 4.0
[READ], 450, 2.0
[READ], 452, 2.0
[READ], 453, 1.0
[READ], 454, 1.0
[READ], 455, 4.0
[READ], 456, 2.0
[READ], 458, 2.0
[READ], 459, 2.0
[READ], 460, 3.0
[READ], 461, 4.0
[READ], 462, 2.0
[READ], 464, 2.0
[READ], 465, 2.0
[READ], 466, 1.0
[READ], 467, 2.0
[READ], 468, 5.0
[READ], 469, 1.0
[READ], 470, 2.0
[READ], 471, 1.0
[READ], 472, 2.0
[READ], 474, 2.0
[READ], 476, 1.0
[READ], 478, 1.0
[READ], 479, 2.0
[READ], 481, 1.0
[READ], 483, 4.0
[READ], 484, 3.0
[READ], 486, 1.0
[READ], 487, 1.0
[READ], 488, 3.0
[READ], 489, 2.0
[READ], 490, 1.0
[READ], 491, 2.0
[READ], 492, 1.0
[READ], 493, 3.0
[READ], 494, 3.0
[READ], 496, 1.0
[READ], 497, 4.0
[READ], 498, 3.0
[READ], 499, 1.0
[READ], 500, 1.0
[READ], 501, 1.0
[READ], 502, 2.0
[READ], 503, 2.0
[READ], 504, 1.0
[READ], 505, 1.0
[READ], 506, 2.0
[READ], 507, 3.0
[READ], 508, 1.0
[READ], 510, 3.0
[READ], 511, 2.0
[READ], 512, 3.0
[READ], 514, 4.0
[READ], 515, 1.0
[READ], 516, 1.0
[READ], 517, 2.0
[READ], 520, 1.0
[READ], 521, 2.0
[READ], 523, 2.0
[READ], 524, 1.0
[READ], 526, 2.0
[READ], 527, 2.0
[READ], 528, 3.0
[READ], 529, 1.0
[READ], 531, 2.0
[READ], 533, 1.0
[READ], 536, 2.0
[READ], 537, 2.0
[READ], 538, 1.0
[READ], 539, 2.0
[READ], 540, 2.0
[READ], 541, 1.0
[READ], 542, 1.0
[READ], 544, 3.0
[READ], 545, 3.0
[READ], 546, 2.0
[READ], 547, 1.0
[READ], 549, 1.0
[READ], 550, 2.0
[READ], 552, 1.0
[READ], 554, 1.0
[READ], 555, 3.0
[READ], 556, 2.0
[READ], 557, 2.0
[READ], 559, 4.0
[READ], 560, 2.0
[READ], 561, 3.0
[READ], 562, 1.0
[READ], 563, 1.0
[READ], 564, 1.0
[READ], 566, 3.0
[READ], 567, 1.0
[READ], 568, 5.0
[READ], 569, 1.0
[READ], 570, 2.0
[READ], 571, 2.0
[READ], 572, 2.0
[READ], 573, 2.0
[READ], 574, 2.0
[READ], 575, 1.0
[READ], 576, 1.0
[READ], 578, 3.0
[READ], 579, 2.0
[READ], 580, 2.0
[READ], 581, 3.0
[READ], 582, 1.0
[READ], 583, 1.0
[READ], 584, 1.0
[READ], 585, 2.0
[READ], 586, 2.0
[READ], 588, 1.0
[READ], 589, 3.0
[READ], 590, 4.0
[READ], 591, 3.0
[READ], 594, 2.0
[READ], 595, 1.0
[READ], 596, 1.0
[READ], 597, 2.0
[READ], 598, 1.0
[READ], 599, 2.0
[READ], 601, 1.0
[READ], 602, 1.0
[READ], 603, 1.0
[READ], 604, 2.0
[READ], 605, 1.0
[READ], 606, 1.0
[READ], 607, 1.0
[READ], 608, 2.0
[READ], 609, 2.0
[READ], 610, 4.0
[READ], 612, 2.0
[READ], 613, 1.0
[READ], 615, 2.0
[READ], 616, 1.0
[READ], 617, 1.0
[READ], 618, 1.0
[READ], 620, 2.0
[READ], 621, 2.0
[READ], 622, 1.0
[READ], 623, 2.0
[READ], 627, 2.0
[READ], 628, 1.0
[READ], 631, 1.0
[READ], 633, 1.0
[READ], 635, 2.0
[READ], 636, 1.0
[READ], 637, 2.0
[READ], 638, 2.0
[READ], 639, 1.0
[READ], 640, 2.0
[READ], 641, 1.0
[READ], 644, 1.0
[READ], 646, 2.0
[READ], 647, 3.0
[READ], 649, 1.0
[READ], 651, 2.0
[READ], 652, 1.0
[READ], 653, 1.0
[READ], 655, 1.0
[READ], 657, 2.0
[READ], 658, 2.0
[READ], 659, 1.0
[READ], 660, 4.0
[READ], 662, 2.0
[READ], 664, 1.0
[READ], 674, 2.0
[READ], 675, 1.0
[READ], 678, 1.0
[READ], 679, 1.0
[READ], 680, 2.0
[READ], 684, 2.0
[READ], 686, 2.0
[READ], 687, 3.0
[READ], 690, 1.0
[READ], 691, 1.0
[READ], 692, 1.0
[READ], 694, 1.0
[READ], 695, 1.0
[READ], 696, 1.0
[READ], 697, 1.0
[READ], 699, 3.0
[READ], 700, 4.0
[READ], 702, 3.0
[READ], 703, 1.0
[READ], 705, 1.0
[READ], 708, 2.0
[READ], 709, 1.0
[READ], 710, 3.0
[READ], 711, 1.0
[READ], 712, 1.0
[READ], 713, 1.0
[READ], 714, 1.0
[READ], 716, 1.0
[READ], 717, 1.0
[READ], 718, 1.0
[READ], 719, 3.0
[READ], 721, 1.0
[READ], 723, 1.0
[READ], 724, 3.0
[READ], 727, 2.0
[READ], 729, 1.0
[READ], 733, 3.0
[READ], 734, 2.0
[READ], 735, 1.0
[READ], 736, 2.0
[READ], 737, 2.0
[READ], 738, 2.0
[READ], 739, 2.0
[READ], 740, 1.0
[READ], 744, 2.0
[READ], 746, 3.0
[READ], 749, 1.0
[READ], 750, 2.0
[READ], 752, 1.0
[READ], 754, 1.0
[READ], 756, 1.0
[READ], 758, 3.0
[READ], 759, 2.0
[READ], 760, 2.0
[READ], 761, 1.0
[READ], 763, 1.0
[READ], 764, 4.0
[READ], 765, 1.0
[READ], 766, 1.0
[READ], 768, 1.0
[READ], 770, 1.0
[READ], 771, 1.0
[READ], 772, 1.0
[READ], 773, 1.0
[READ], 776, 2.0
[READ], 780, 2.0
[READ], 782, 1.0
[READ], 785, 1.0
[READ], 788, 1.0
[READ], 795, 1.0
[READ], 796, 1.0
[READ], 802, 2.0
[READ], 803, 2.0
[READ], 806, 1.0
[READ], 807, 2.0
[READ], 812, 1.0
[READ], 813, 1.0
[READ], 815, 3.0
[READ], 820, 1.0
[READ], 822, 1.0
[READ], 823, 1.0
[READ], 829, 3.0
[READ], 830, 1.0
[READ], 832, 2.0
[READ], 837, 1.0
[READ], 838, 1.0
[READ], 839, 1.0
[READ], 840, 2.0
[READ], 841, 1.0
[READ], 843, 1.0
[READ], 844, 1.0
[READ], 846, 1.0
