Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1279
[OVERALL], Throughput(ops/sec), 781.8608287724785
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 942
[READ], AverageLatency(us), 567.1486199575371
[READ], MinLatency(us), 223
[READ], MaxLatency(us), 13719
[READ], 95thPercentileLatency(us), 1006
[READ], 99thPercentileLatency(us), 2425
[READ], Return=OK, 942
[READ], 223, 1.0
[READ], 228, 1.0
[READ], 231, 1.0
[READ], 232, 4.0
[READ], 233, 2.0
[READ], 235, 2.0
[READ], 236, 2.0
[READ], 237, 1.0
[READ], 239, 1.0
[READ], 241, 2.0
[READ], 243, 1.0
[READ], 245, 2.0
[READ], 246, 1.0
[READ], 252, 4.0
[READ], 254, 1.0
[READ], 255, 1.0
[READ], 256, 1.0
[READ], 257, 1.0
[READ], 258, 1.0
[READ], 259, 3.0
[READ], 260, 3.0
[READ], 261, 1.0
[READ], 262, 1.0
[READ], 263, 4.0
[READ], 264, 1.0
[READ], 265, 2.0
[READ], 266, 1.0
[READ], 267, 2.0
[READ], 268, 1.0
[READ], 270, 1.0
[READ], 271, 1.0
[READ], 272, 2.0
[READ], 273, 1.0
[READ], 275, 1.0
[READ], 277, 1.0
[READ], 278, 2.0
[READ], 279, 1.0
[READ], 281, 1.0
[READ], 283, 1.0
[READ], 284, 3.0
[READ], 286, 1.0
[READ], 287, 3.0
[READ], 288, 4.0
[READ], 289, 1.0
[READ], 290, 3.0
