Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1509
[OVERALL], Throughput(ops/sec), 662.6905235255136
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 1000
[READ], AverageLatency(us), 524.838
[READ], MinLatency(us), 226
[READ], MaxLatency(us), 14647
[READ], 95thPercentileLatency(us), 1026
[READ], 99thPercentileLatency(us), 1612
[READ], Return=OK, 1000
[READ], 226, 1.0
[READ], 229, 1.0
[READ], 231, 1.0
[READ], 234, 1.0
[READ], 235, 1.0
[READ], 236, 1.0
[READ], 237, 1.0
[READ], 238, 1.0
[READ], 239, 1.0
[READ], 240, 3.0
[READ], 242, 2.0
[READ], 245, 4.0
[READ], 248, 2.0
[READ], 249, 3.0
[READ], 252, 3.0
[READ], 253, 3.0
[READ], 254, 1.0
[READ], 255, 2.0
[READ], 256, 1.0
[READ], 257, 3.0
[READ], 258, 2.0
[READ], 259, 3.0
[READ], 260, 3.0
[READ], 261, 2.0
[READ], 262, 1.0
[READ], 263, 4.0
[READ], 264, 1.0
[READ], 265, 2.0
[READ], 266, 3.0
[READ], 267, 1.0
[READ], 268, 4.0
[READ], 269, 6.0
[READ], 270, 2.0
[READ], 272, 2.0
[READ], 273, 4.0
[READ], 274, 2.0
[READ], 275, 4.0
[READ], 276, 4.0
[READ], 277, 2.0
[READ], 278, 8.0
[READ], 279, 2.0
[READ], 280, 2.0
[READ], 281, 3.0
[READ], 282, 2.0
[READ], 283, 2.0
[READ], 284, 3.0
[READ], 285, 4.0
[READ], 286, 3.0
[READ], 287, 5.0
[READ], 288, 4.0
[READ], 289, 3.0
[READ], 290, 3.0
[READ], 291, 2.0
[READ], 292, 8.0
[READ], 293, 8.0
[READ], 294, 3.0
[READ], 295, 4.0
[READ], 296, 6.0
[READ], 297, 1.0
[READ], 298, 6.0
[READ], 299, 2.0
[READ], 300, 8.0
[READ], 301, 4.0
[READ], 302, 5.0
[READ], 303, 3.0
[READ], 304, 7.0
[READ], 305, 4.0
[READ], 306, 4.0
[READ], 307, 2.0
[READ], 308, 2.0
[READ], 309, 2.0
[READ], 310, 3.0
[READ], 311, 5.0
[READ], 312, 3.0
[READ], 313, 2.0
[READ], 314, 4.0
[READ], 315, 5.0
[READ], 316, 5.0
[READ], 317, 5.0
[READ], 318, 3.0
[READ], 319, 3.0
[READ], 320, 5.0
[READ], 321, 3.0
[READ], 323, 7.0
[READ], 324, 1.0
[READ], 325, 4.0
[READ], 326, 2.0
[READ], 327, 3.0
[READ], 328, 1.0
[READ], 329, 7.0
[READ], 330, 3.0
[READ], 331, 2.0
[READ], 332, 2.0
[READ], 333, 3.0
[READ], 334, 2.0
[READ], 335, 5.0
[READ], 336, 1.0
[READ], 337, 4.0
[READ], 339, 6.0
[READ], 340, 3.0
