Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1230
[OVERALL], Throughput(ops/sec), 813.0081300813008
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 505
[READ], AverageLatency(us), 528.190099009901
[READ], MinLatency(us), 252
[READ], MaxLatency(us), 8527
[READ], 95thPercentileLatency(us), 871
[READ], 99thPercentileLatency(us), 1855
[READ], Return=OK, 505
[READ], 252, 1.0
[READ], 260, 1.0
[READ], 261, 1.0
[READ], 270, 1.0
[READ], 275, 1.0
[READ], 277, 1.0
[READ], 282, 3.0
[READ], 284, 1.0
[READ], 289, 1.0
[READ], 290, 2.0
[READ], 292, 2.0
[READ], 296, 1.0
[READ], 297, 1.0
[READ], 298, 1.0
[READ], 301, 3.0
[READ], 302, 1.0
[READ], 303, 2.0
[READ], 305, 1.0
[READ], 309, 1.0
[READ], 310, 1.0
[READ], 311, 1.0
[READ], 312, 2.0
[READ], 313, 2.0
[READ], 318, 2.0
[READ], 321, 2.0
[READ], 323, 1.0
[READ], 325, 2.0
[READ], 326, 2.0
[READ], 327, 2.0
[READ], 328, 3.0
[READ], 329, 1.0
[READ], 330, 1.0
[READ], 331, 4.0
[READ], 334, 1.0
[READ], 335, 1.0
[READ], 336, 1.0
[READ], 337, 2.0
[READ], 340, 2.0
[READ], 341, 2.0
[READ], 342, 2.0
[READ], 343, 1.0
[READ], 345, 1.0
[READ], 346, 1.0
[READ], 347, 2.0
[READ], 348, 1.0
[READ], 349, 1.0
[READ], 350, 1.0
[READ], 351, 4.0
[READ], 352, 1.0
[READ], 354, 2.0
[READ], 355, 1.0
[READ], 357, 1.0
[READ], 358, 3.0
[READ], 359, 1.0
[READ], 360, 1.0
[READ], 361, 2.0
[READ], 363, 1.0
[READ], 364, 1.0
[READ], 365, 4.0
[READ], 367, 1.0
[READ], 368, 1.0
[READ], 369, 2.0
[READ], 370, 3.0
[READ], 371, 1.0
[READ], 373, 1.0
[READ], 374, 1.0
[READ], 375, 4.0
[READ], 376, 4.0
[READ], 377, 4.0
[READ], 378, 1.0
[READ], 379, 3.0
[READ], 380, 1.0
[READ], 381, 4.0
[READ], 382, 4.0
[READ], 383, 4.0
[READ], 384, 2.0
[READ], 386, 2.0
[READ], 387, 1.0
[READ], 388, 2.0
[READ], 389, 1.0
[READ], 390, 4.0
[READ], 391, 4.0
[READ], 392, 1.0
[READ], 393, 1.0
[READ], 394, 3.0
[READ], 395, 4.0
[READ], 396, 2.0
[READ], 397, 3.0
[READ], 398, 3.0
[READ], 399, 2.0
[READ], 400, 2.0
[READ], 401, 1.0
[READ], 402, 1.0
[READ], 405, 1.0
[READ], 406, 2.0
[READ], 407, 2.0
[READ], 409, 1.0
[READ], 410, 1.0
[READ], 411, 2.0
[READ], 412, 1.0
[READ], 413, 2.0
[READ], 414, 4.0
[READ], 415, 1.0
[READ], 416, 1.0
[READ], 418, 2.0
[READ], 419, 3.0
[READ], 420, 1.0
[READ], 421, 1.0
[READ], 422, 1.0
[READ], 423, 1.0
[READ], 424, 2.0
[READ], 425, 1.0
[READ], 428, 2.0
[READ], 429, 3.0
[READ], 430, 1.0
[READ], 431, 1.0
[READ], 432, 4.0
[READ], 433, 3.0
[READ], 434, 1.0
[READ], 435, 5.0
[READ], 436, 3.0
[READ], 437, 1.0
[READ], 438, 1.0
[READ], 439, 2.0
[READ], 440, 2.0
[READ], 441, 7.0
[READ], 442, 1.0
[READ], 443, 4.0
[READ], 444, 2.0
[READ], 445, 1.0
[READ], 446, 2.0
[READ], 447, 1.0
[READ], 448, 4.0
[READ], 449, 2.0
[READ], 450, 2.0
[READ], 451, 2.0
[READ], 452, 1.0
[READ], 453, 2.0
[READ], 454, 1.0
[READ], 455, 1.0
[READ], 456, 2.0
[READ], 457, 1.0
[READ], 458, 1.0
[READ], 459, 3.0
[READ], 460, 1.0
[READ], 461, 1.0
[READ], 463, 2.0
[READ], 464, 2.0
[READ], 465, 2.0
[READ], 467, 2.0
[READ], 468, 1.0
[READ], 471, 4.0
[READ], 472, 3.0
[READ], 473, 1.0
[READ], 474, 1.0
[READ], 477, 2.0
[READ], 478, 1.0
[READ], 479, 5.0
[READ], 480, 2.0
[READ], 481, 1.0
[READ], 482, 2.0
[READ], 483, 2.0
[READ], 484, 3.0
[READ], 485, 2.0
[READ], 487, 1.0
[READ], 489, 1.0
[READ], 490, 1.0
[READ], 492, 3.0
[READ], 493, 1.0
[READ], 494, 3.0
[READ], 495, 1.0
[READ], 496, 1.0
[READ], 497, 3.0
[READ], 499, 1.0
[READ], 500, 2.0
[READ], 502, 2.0
[READ], 503, 2.0
[READ], 504, 2.0
[READ], 506, 3.0
[READ], 507, 3.0
[READ], 509, 1.0
[READ], 510, 2.0
[READ], 512, 1.0
[READ], 513, 1.0
[READ], 514, 3.0
[READ], 515, 1.0
[READ], 516, 2.0
[READ], 517, 1.0
[READ], 518, 1.0
[READ], 519, 1.0
[READ], 521, 1.0
[READ], 524, 1.0
[READ], 525, 2.0
[READ], 526, 1.0
[READ], 527, 3.0
[READ], 528, 1.0
[READ], 529, 1.0
[READ], 532, 2.0
[READ], 533, 4.0
[READ], 534, 1.0
[READ], 536, 2.0
[READ], 538, 1.0
[READ], 540, 1.0
[READ], 545, 2.0
[READ], 546, 1.0
[READ], 548, 2.0
[READ], 549, 1.0
[READ], 550, 2.0
[READ], 553, 1.0
[READ], 555, 3.0
[READ], 557, 1.0
[READ], 559, 2.0
[READ], 560, 1.0
[READ], 561, 2.0
[READ], 563, 1.0
[READ], 566, 3.0
[READ], 575, 1.0
[READ], 578, 1.0
[READ], 581, 1.0
[READ], 582, 1.0
[READ], 584, 1.0
[READ], 586, 1.0
[READ], 587, 1.0
[READ], 588, 2.0
[READ], 589, 2.0
[READ], 590, 1.0
[READ], 591, 1.0
[READ], 594, 2.0
[READ], 596, 1.0
[READ], 597, 3.0
[READ], 600, 1.0
[READ], 602, 1.0
[READ], 609, 2.0
[READ], 610, 1.0
[READ], 611, 1.0
[READ], 614, 1.0
[READ], 618, 1.0
[READ], 619, 1.0
[READ], 620, 1.0
[READ], 628, 1.0
[READ], 631, 1.0
[READ], 637, 2.0
[READ], 639, 1.0
[READ], 645, 1.0
[READ], 647, 1.0
[READ], 649, 1.0
[READ], 650, 1.0
[READ], 651, 2.0
[READ], 662, 1.0
[READ], 669, 1.0
[READ], 670, 2.0
[READ], 674, 1.0
[READ], 676, 1.0
[READ], 684, 2.0
[READ], 687, 1.0
[READ], 689, 2.0
[READ], 695, 1.0
[READ], 698, 1.0
[READ], 701, 2.0
[READ], 704, 1.0
[READ], 712, 1.0
[READ], 713, 1.0
[READ], 727, 1.0
[READ], 731, 1.0
[READ], 733, 1.0
[READ], 757, 2.0
[READ], 760, 1.0
[READ], 761, 1.0
[READ], 765, 1.0
[READ], 785, 1.0
[READ], 805, 2.0
[READ], 814, 2.0
[READ], 820, 1.0
[READ], 823, 1.0
[READ], 826, 2.0
[READ], 835, 1.0
[READ], 842, 1.0
[READ], 848, 1.0
[READ], 850, 1.0
[READ], 854, 1.0
[READ], 868, 1.0
[READ], 869, 1.0
[READ], 871, 1.0
[READ], 904, 2.0
[READ], 912, 1.0
[READ], 916, 1.0
[READ], 919, 1.0
[READ], 929, 1.0
[READ], 938, 1.0
[READ], 941, 1.0
[READ], 975, 2.0
[READ], 1032, 1.0
[READ], 1059, 1.0
[READ], 1073, 1.0
[READ], 1090, 1.0
[READ], 1118, 1.0
[READ], 1184, 1.0
[READ], 1490, 1.0
[READ], 1540, 1.0
[READ], 1638, 1.0
[READ], 1855, 1.0
[READ], 1975, 1.0
[READ], 2017, 1.0
[READ], 3117, 1.0
[READ], 4079, 1.0
[READ], 8527, 1.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 2719.0
[CLEANUP], MinLatency(us), 2718
[CLEANUP], MaxLatency(us), 2719
[CLEANUP], 95thPercentileLatency(us), 2719
[CLEANUP], 99thPercentileLatency(us), 2719
[CLEANUP], 2719, 1.0
[UPDATE], Operations, 495
[UPDATE], AverageLatency(us), 713.6747474747475
[UPDATE], MinLatency(us), 400
[UPDATE], MaxLatency(us), 23759
[UPDATE], 95thPercentileLatency(us), 978
[UPDATE], 99thPercentileLatency(us), 1980
[UPDATE], Return=OK, 495
[UPDATE], 400, 1.0
[UPDATE], 407, 1.0
[UPDATE], 409, 1.0
[UPDATE], 415, 1.0
[UPDATE], 425, 1.0
[UPDATE], 435, 1.0
[UPDATE], 437, 1.0
[UPDATE], 439, 2.0
[UPDATE], 443, 1.0
[UPDATE], 446, 1.0
[UPDATE], 450, 1.0
[UPDATE], 451, 1.0
[UPDATE], 455, 1.0
[UPDATE], 458, 1.0
[UPDATE], 461, 1.0
[UPDATE], 462, 2.0
[UPDATE], 463, 1.0
[UPDATE], 465, 1.0
[UPDATE], 466, 1.0
[UPDATE], 467, 1.0
[UPDATE], 470, 2.0
[UPDATE], 473, 1.0
[UPDATE], 474, 1.0
[UPDATE], 475, 1.0
[UPDATE], 476, 1.0
[UPDATE], 477, 1.0
[UPDATE], 479, 1.0
[UPDATE], 484, 1.0
[UPDATE], 485, 1.0
[UPDATE], 486, 1.0
[UPDATE], 487, 2.0
[UPDATE], 488, 1.0
[UPDATE], 491, 2.0
[UPDATE], 493, 3.0
[UPDATE], 494, 1.0
[UPDATE], 495, 2.0
[UPDATE], 497, 3.0
[UPDATE], 498, 2.0
[UPDATE], 499, 2.0
[UPDATE], 500, 3.0
[UPDATE], 501, 1.0
[UPDATE], 502, 2.0
[UPDATE], 503, 1.0
[UPDATE], 504, 6.0
[UPDATE], 505, 3.0
[UPDATE], 506, 3.0
[UPDATE], 507, 2.0
[UPDATE], 508, 1.0
[UPDATE], 511, 1.0
[UPDATE], 512, 2.0
[UPDATE], 513, 2.0
[UPDATE], 514, 1.0
[UPDATE], 515, 1.0
[UPDATE], 516, 1.0
[UPDATE], 517, 1.0
[UPDATE], 518, 2.0
[UPDATE], 519, 2.0
[UPDATE], 521, 2.0
[UPDATE], 522, 1.0
[UPDATE], 523, 1.0
[UPDATE], 525, 2.0
[UPDATE], 526, 3.0
[UPDATE], 527, 2.0
[UPDATE], 529, 1.0
[UPDATE], 530, 1.0
[UPDATE], 531, 2.0
[UPDATE], 532, 1.0
[UPDATE], 533, 3.0
[UPDATE], 534, 3.0
[UPDATE], 536, 1.0
[UPDATE], 537, 1.0
[UPDATE], 538, 1.0
[UPDATE], 539, 6.0
[UPDATE], 541, 2.0
[UPDATE], 542, 4.0
[UPDATE], 543, 2.0
[UPDATE], 545, 3.0
[UPDATE], 546, 2.0
[UPDATE], 547, 1.0
[UPDATE], 548, 3.0
[UPDATE], 549, 2.0
[UPDATE], 550, 2.0
[UPDATE], 551, 2.0
[UPDATE], 552, 1.0
[UPDATE], 553, 1.0
[UPDATE], 554, 2.0
[UPDATE], 555, 1.0
[UPDATE], 556, 5.0
[UPDATE], 557, 2.0
[UPDATE], 558, 1.0
[UPDATE], 559, 2.0
[UPDATE], 560, 1.0
[UPDATE], 561, 2.0
[UPDATE], 562, 2.0
[UPDATE], 563, 3.0
[UPDATE], 564, 2.0
[UPDATE], 565, 2.0
[UPDATE], 566, 1.0
[UPDATE], 567, 2.0
[UPDATE], 568, 1.0
[UPDATE], 569, 1.0
[UPDATE], 570, 3.0
[UPDATE], 571, 3.0
[UPDATE], 572, 3.0
[UPDATE], 573, 2.0
[UPDATE], 574, 2.0
[UPDATE], 575, 2.0
[UPDATE], 577, 2.0
[UPDATE], 578, 1.0
[UPDATE], 579, 3.0
[UPDATE], 580, 1.0
[UPDATE], 581, 1.0
[UPDATE], 582, 1.0
[UPDATE], 583, 3.0
[UPDATE], 584, 1.0
[UPDATE], 585, 2.0
[UPDATE], 586, 4.0
[UPDATE], 587, 2.0
[UPDATE], 589, 3.0
[UPDATE], 590, 3.0
[UPDATE], 591, 3.0
