Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1114
[OVERALL], Throughput(ops/sec), 897.6660682226212
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 961
[READ], AverageLatency(us), 495.90842872008324
[READ], MinLatency(us), 236
[READ], MaxLatency(us), 15063
[READ], 95thPercentileLatency(us), 800
[READ], 99thPercentileLatency(us), 1740
[READ], Return=OK, 961
[READ], 236, 1.0
[READ], 247, 1.0
[READ], 253, 2.0
[READ], 256, 2.0
[READ], 257, 1.0
[READ], 260, 2.0
[READ], 262, 2.0
[READ], 263, 2.0
[READ], 264, 2.0
[READ], 265, 4.0
[READ], 266, 2.0
[READ], 267, 4.0
[READ], 268, 1.0
[READ], 269, 1.0
[READ], 270, 2.0
[READ], 271, 1.0
[READ], 272, 5.0
[READ], 274, 1.0
[READ], 275, 3.0
[READ], 276, 2.0
[READ], 277, 2.0
[READ], 278, 2.0
[READ], 279, 3.0
[READ], 281, 3.0
[READ], 282, 4.0
[READ], 283, 2.0
[READ], 285, 6.0
[READ], 286, 3.0
[READ], 287, 4.0
[READ], 288, 3.0
[READ], 289, 4.0
[READ], 290, 3.0
[READ], 291, 2.0
[READ], 293, 3.0
[READ], 294, 7.0
[READ], 295, 4.0
[READ], 296, 6.0
[READ], 297, 2.0
[READ], 298, 9.0
[READ], 299, 4.0
[READ], 300, 2.0
[READ], 301, 4.0
[READ], 302, 6.0
[READ], 303, 3.0
[READ], 304, 5.0
[READ], 305, 6.0
[READ], 306, 5.0
[READ], 307, 8.0
[READ], 308, 4.0
[READ], 309, 8.0
[READ], 310, 3.0
[READ], 311, 6.0
[READ], 312, 5.0
[READ], 313, 3.0
[READ], 314, 6.0
[READ], 315, 5.0
[READ], 316, 4.0
[READ], 317, 4.0
[READ], 318, 3.0
[READ], 319, 4.0
[READ], 320, 9.0
[READ], 322, 4.0
[READ], 323, 2.0
[READ], 324, 1.0
[READ], 325, 3.0
[READ], 326, 4.0
[READ], 327, 1.0
[READ], 328, 5.0
[READ], 329, 1.0
[READ], 330, 4.0
[READ], 331, 1.0
[READ], 332, 4.0
[READ], 333, 3.0
[READ], 334, 1.0
[READ], 335, 2.0
[READ], 336, 4.0
[READ], 337, 1.0
[READ], 338, 5.0
[READ], 339, 4.0
[READ], 340, 3.0
[READ], 341, 2.0
[READ], 342, 6.0
[READ], 343, 3.0
[READ], 344, 2.0
[READ], 345, 3.0
[READ], 346, 2.0
[READ], 347, 1.0
[READ], 348, 1.0
[READ], 349, 2.0
[READ], 350, 3.0
[READ], 351, 2.0
[READ], 352, 1.0
[READ], 353, 6.0
[READ], 354, 2.0
[READ], 355, 2.0
[READ], 356, 2.0
[READ], 357, 1.0
[READ], 358, 6.0
[READ], 359, 3.0
[READ], 360, 3.0
[READ], 361, 3.0
[READ], 363, 1.0
[READ], 364, 3.0
[READ], 365, 3.0
[READ], 366, 2.0
[READ], 367, 1.0
[READ], 368, 3.0
[READ], 369, 2.0
[READ], 370, 5.0
[READ], 371, 2.0
[READ], 372, 2.0
[READ], 373, 1.0
[READ], 374, 3.0
[READ], 375, 4.0
[READ], 376, 4.0
[READ], 377, 1.0
[READ], 378, 2.0
[READ], 379, 1.0
[READ], 380, 5.0
[READ], 381, 3.0
[READ], 382, 1.0
[READ], 383, 3.0
[READ], 386, 6.0
[READ], 387, 2.0
[READ], 388, 4.0
[READ], 389, 2.0
[READ], 390, 2.0
[READ], 391, 3.0
[READ], 392, 4.0
[READ], 393, 4.0
[READ], 394, 1.0
[READ], 395, 1.0
[READ], 396, 4.0
[READ], 397, 3.0
[READ], 398, 3.0
[READ], 399, 2.0
[READ], 400, 6.0
[READ], 401, 3.0
[READ], 402, 4.0
[READ], 403, 4.0
[READ], 404, 3.0
[READ], 405, 3.0
[READ], 406, 4.0
[READ], 407, 3.0
[READ], 408, 1.0
[READ], 410, 6.0
[READ], 411, 4.0
[READ], 412, 3.0
[READ], 414, 2.0
[READ], 415, 2.0
[READ], 417, 4.0
[READ], 418, 3.0
[READ], 419, 2.0
[READ], 420, 1.0
[READ], 421, 5.0
[READ], 422, 2.0
[READ], 423, 1.0
[READ], 424, 2.0
[READ], 425, 2.0
[READ], 427, 2.0
[READ], 428, 2.0
[READ], 429, 1.0
[READ], 430, 3.0
[READ], 431, 2.0
[READ], 432, 1.0
[READ], 433, 5.0
[READ], 434, 4.0
[READ], 435, 6.0
[READ], 436, 4.0
[READ], 437, 2.0
[READ], 438, 1.0
[READ], 440, 1.0
[READ], 441, 2.0
[READ], 442, 3.0
[READ], 443, 1.0
[READ], 444, 5.0
[READ], 445, 3.0
[READ], 446, 3.0
[READ], 447, 2.0
[READ], 448, 4.0
[READ], 449, 1.0
[READ], 450, 1.0
[READ], 452, 2.0
[READ], 453, 2.0
[READ], 454, 4.0
[READ], 455, 4.0
[READ], 456, 6.0
[READ], 457, 3.0
[READ], 458, 2.0
[READ], 459, 1.0
[READ], 460, 3.0
[READ], 461, 3.0
[READ], 462, 1.0
[READ], 463, 3.0
[READ], 464, 2.0
[READ], 465, 2.0
