Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1080
[OVERALL], Throughput(ops/sec), 925.925925925926
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 1000
[READ], AverageLatency(us), 483.107
[READ], MinLatency(us), 224
[READ], MaxLatency(us), 17519
[READ], 95thPercentileLatency(us), 766
[READ], 99thPercentileLatency(us), 1823
[READ], Return=OK, 1000
[READ], 224, 1.0
[READ], 226, 1.0
[READ], 229, 1.0
[READ], 231, 2.0
[READ], 232, 1.0
[READ], 235, 2.0
[READ], 236, 1.0
[READ], 237, 3.0
[READ], 240, 1.0
[READ], 241, 3.0
[READ], 243, 1.0
[READ], 244, 5.0
[READ], 245, 4.0
[READ], 246, 2.0
[READ], 247, 1.0
[READ], 249, 2.0
[READ], 250, 1.0
[READ], 251, 1.0
[READ], 252, 1.0
[READ], 253, 3.0
[READ], 254, 4.0
[READ], 256, 2.0
[READ], 257, 1.0
[READ], 258, 3.0
[READ], 259, 1.0
[READ], 260, 2.0
[READ], 261, 4.0
[READ], 262, 3.0
[READ], 263, 4.0
[READ], 264, 5.0
[READ], 265, 2.0
[READ], 266, 1.0
[READ], 267, 7.0
[READ], 268, 5.0
[READ], 269, 3.0
[READ], 270, 3.0
[READ], 271, 2.0
[READ], 272, 4.0
[READ], 273, 3.0
[READ], 274, 3.0
[READ], 275, 2.0
[READ], 276, 5.0
[READ], 277, 4.0
[READ], 278, 5.0
[READ], 279, 2.0
[READ], 280, 5.0
[READ], 281, 5.0
[READ], 282, 4.0
[READ], 283, 5.0
[READ], 284, 2.0
[READ], 285, 2.0
[READ], 286, 2.0
[READ], 287, 3.0
[READ], 288, 1.0
[READ], 289, 4.0
[READ], 290, 5.0
[READ], 291, 3.0
[READ], 292, 2.0
[READ], 293, 4.0
[READ], 294, 4.0
[READ], 295, 1.0
[READ], 296, 3.0
[READ], 297, 1.0
[READ], 298, 5.0
[READ], 299, 3.0
[READ], 300, 2.0
[READ], 301, 1.0
[READ], 302, 2.0
[READ], 303, 1.0
[READ], 304, 2.0
[READ], 305, 1.0
[READ], 306, 2.0
[READ], 307, 2.0
[READ], 308, 3.0
[READ], 309, 8.0
[READ], 310, 5.0
[READ], 311, 3.0
[READ], 312, 5.0
[READ], 313, 9.0
[READ], 314, 4.0
[READ], 315, 6.0
[READ], 316, 6.0
[READ], 317, 6.0
[READ], 318, 5.0
[READ], 319, 6.0
[READ], 320, 4.0
[READ], 321, 11.0
[READ], 322, 8.0
[READ], 323, 4.0
[READ], 324, 3.0
[READ], 325, 3.0
[READ], 326, 4.0
[READ], 327, 7.0
[READ], 328, 3.0
[READ], 329, 4.0
[READ], 330, 1.0
[READ], 331, 3.0
[READ], 332, 3.0
[READ], 333, 4.0
[READ], 334, 2.0
[READ], 335, 3.0
[READ], 336, 4.0
[READ], 337, 2.0
[READ], 338, 2.0
[READ], 339, 4.0
[READ], 340, 1.0
[READ], 341, 4.0
[READ], 342, 1.0
[READ], 343, 1.0
[READ], 344, 2.0
[READ], 345, 2.0
[READ], 346, 2.0
[READ], 347, 1.0
[READ], 348, 3.0
[READ], 349, 1.0
[READ], 350, 1.0
[READ], 351, 4.0
[READ], 352, 6.0
[READ], 353, 3.0
[READ], 354, 2.0
[READ], 355, 1.0
[READ], 356, 2.0
[READ], 357, 3.0
[READ], 358, 1.0
[READ], 360, 1.0
[READ], 361, 2.0
[READ], 362, 3.0
[READ], 363, 1.0
[READ], 365, 3.0
[READ], 366, 4.0
[READ], 367, 4.0
[READ], 368, 2.0
[READ], 369, 2.0
[READ], 370, 3.0
[READ], 371, 2.0
[READ], 372, 4.0
[READ], 373, 5.0
[READ], 374, 2.0
[READ], 375, 1.0
[READ], 376, 4.0
[READ], 377, 1.0
[READ], 378, 3.0
[READ], 379, 3.0
[READ], 380, 3.0
[READ], 381, 3.0
[READ], 382, 4.0
[READ], 383, 1.0
[READ], 384, 2.0
[READ], 385, 3.0
[READ], 386, 1.0
[READ], 387, 2.0
[READ], 388, 3.0
[READ], 389, 2.0
[READ], 390, 3.0
[READ], 391, 3.0
[READ], 392, 2.0
[READ], 393, 3.0
[READ], 394, 2.0
[READ], 395, 4.0
[READ], 396, 3.0
[READ], 397, 2.0
[READ], 398, 2.0
[READ], 399, 3.0
[READ], 400, 1.0
[READ], 401, 2.0
[READ], 402, 4.0
[READ], 403, 6.0
[READ], 404, 4.0
[READ], 405, 4.0
[READ], 406, 4.0
[READ], 407, 1.0
[READ], 408, 2.0
[READ], 409, 2.0
[READ], 410, 2.0
[READ], 411, 2.0
[READ], 412, 4.0
[READ], 413, 2.0
[READ], 414, 2.0
[READ], 415, 1.0
[READ], 416, 2.0
[READ], 417, 5.0
[READ], 418, 4.0
[READ], 420, 1.0
[READ], 421, 3.0
[READ], 422, 3.0
[READ], 423, 2.0
[READ], 424, 4.0
[READ], 425, 6.0
[READ], 426, 3.0
[READ], 427, 1.0
[READ], 428, 2.0
[READ], 429, 5.0
[READ], 430, 2.0
[READ], 431, 4.0
[READ], 432, 4.0
[READ], 433, 1.0
[READ], 434, 2.0
[READ], 435, 2.0
[READ], 436, 3.0
[READ], 437, 4.0
[READ], 438, 5.0
[READ], 439, 4.0
[READ], 441, 3.0
[READ], 442, 4.0
[READ], 443, 1.0
[READ], 444, 5.0
[READ], 445, 1.0
[READ], 446, 4.0
[READ], 447, 3.0
[READ], 448, 3.0
[READ], 449, 4.0
[READ], 450, 3.0
[READ], 451, 1.0
[READ], 452, 3.0
[READ], 453, 5.0
[READ], 455, 2.0
[READ], 456, 4.0
[READ], 457, 5.0
[READ], 458, 3.0
[READ], 459, 2.0
[READ], 460, 3.0
[READ], 461, 1.0
[READ], 462, 3.0
[READ], 463, 4.0
[READ], 464, 4.0
[READ], 466, 6.0
[READ], 467, 6.0
[READ], 468, 6.0
[READ], 469, 2.0
[READ], 470, 4.0
[READ], 471, 3.0
[READ], 472, 4.0
[READ], 473, 3.0
[READ], 474, 2.0
[READ], 475, 1.0
[READ], 476, 2.0
[READ], 477, 3.0
[READ], 478, 3.0
[READ], 479, 1.0
[READ], 480, 3.0
[READ], 481, 1.0
[READ], 482, 1.0
[READ], 483, 3.0
[READ], 484, 1.0
[READ], 485, 3.0
[READ], 487, 7.0
[READ], 488, 3.0
[READ], 489, 2.0
[READ], 491, 3.0
[READ], 492, 3.0
[READ], 494, 2.0
[READ], 495, 1.0
[READ], 496, 3.0
[READ], 498, 1.0
[READ], 500, 1.0
[READ], 501, 1.0
[READ], 502, 3.0
[READ], 503, 1.0
[READ], 504, 5.0
[READ], 505, 2.0
[READ], 506, 2.0
[READ], 507, 2.0
[READ], 508, 1.0
[READ], 509, 1.0
[READ], 510, 1.0
[READ], 511, 1.0
[READ], 512, 2.0
[READ], 513, 2.0
[READ], 514, 2.0
[READ], 515, 1.0
[READ], 516, 3.0
[READ], 517, 4.0
[READ], 518, 1.0
[READ], 519, 1.0
[READ], 521, 1.0
[READ], 522, 1.0
[READ], 523, 2.0
[READ], 524, 1.0
[READ], 529, 2.0
[READ], 530, 1.0
[READ], 531, 1.0
[READ], 532, 4.0
[READ], 533, 2.0
[READ], 535, 2.0
[READ], 537, 4.0
[READ], 538, 1.0
[READ], 539, 1.0
[READ], 540, 1.0
[READ], 541, 3.0
[READ], 542, 1.0
[READ], 543, 1.0
[READ], 544, 3.0
[READ], 545, 1.0
[READ], 546, 2.0
[READ], 549, 2.0
[READ], 551, 1.0
[READ], 552, 3.0
[READ], 553, 2.0
[READ], 554, 2.0
[READ], 555, 2.0
[READ], 556, 2.0
[READ], 559, 1.0
[READ], 562, 1.0
[READ], 563, 2.0
[READ], 566, 1.0
[READ], 569, 2.0
[READ], 571, 2.0
[READ], 572, 2.0
[READ], 573, 1.0
[READ], 576, 3.0
[READ], 578, 3.0
[READ], 579, 2.0
[READ], 580, 1.0
[READ], 584, 1.0
[READ], 586, 1.0
[READ], 587, 1.0
[READ], 589, 1.0
[READ], 590, 2.0
[READ], 591, 1.0
[READ], 592, 1.0
[READ], 593, 1.0
[READ], 594, 2.0
[READ], 595, 1.0
[READ], 596, 1.0
[READ], 597, 1.0
[READ], 598, 1.0
[READ], 601, 1.0
[READ], 602, 1.0
[READ], 603, 2.0
[READ], 604, 2.0
[READ], 610, 1.0
[READ], 611, 2.0
[READ], 614, 1.0
[READ], 616, 2.0
[READ], 617, 1.0
[READ], 620, 1.0
[READ], 622, 1.0
[READ], 623, 1.0
[READ], 627, 2.0
[READ], 629, 1.0
[READ], 634, 1.0
[READ], 635, 1.0
[READ], 636, 3.0
[READ], 638, 1.0
[READ], 639, 1.0
[READ], 641, 1.0
[READ], 643, 1.0
[READ], 644, 1.0
[READ], 645, 1.0
[READ], 647, 2.0
[READ], 650, 1.0
[READ], 651, 1.0
[READ], 654, 1.0
[READ], 656, 1.0
[READ], 658, 2.0
[READ], 660, 2.0
[READ], 662, 2.0
[READ], 663, 1.0
[READ], 667, 1.0
[READ], 669, 2.0
[READ], 670, 1.0
[READ], 673, 1.0
[READ], 679, 2.0
[READ], 682, 1.0
[READ], 694, 2.0
[READ], 696, 1.0
[READ], 700, 1.0
[READ], 708, 1.0
[READ], 710, 1.0
[READ], 717, 1.0
[READ], 719, 1.0
[READ], 721, 1.0
[READ], 722, 1.0
[READ], 725, 1.0
[READ], 728, 1.0
[READ], 732, 1.0
[READ], 733, 1.0
[READ], 736, 1.0
[READ], 745, 1.0
[READ], 747, 1.0
[READ], 750, 1.0
[READ], 751, 2.0
[READ], 756, 2.0
[READ], 757, 1.0
[READ], 765, 3.0
[READ], 766, 1.0
[READ], 769, 1.0
[READ], 775, 1.0
[READ], 778, 1.0
[READ], 820, 1.0
[READ], 821, 1.0
[READ], 847, 1.0
[READ], 848, 1.0
[READ], 861, 1.0
[READ], 868, 1.0
[READ], 872, 1.0
[READ], 895, 1.0
[READ], 904, 1.0
[READ], 906, 1.0
[READ], 912, 1.0
[READ], 919, 1.0
[READ], 954, 1.0
[READ], 980, 1.0
[READ], 985, 1.0
[READ], 997, 1.0
[READ], 1007, 1.0
[READ], 1033, 1.0
[READ], 1061, 1.0
[READ], 1062, 1.0
[READ], 1071, 1.0
[READ], 1083, 1.0
[READ], 1085, 1.0
[READ], 1099, 1.0
[READ], 1146, 1.0
[READ], 1159, 1.0
[READ], 1190, 1.0
[READ], 1203, 1.0
[READ], 1236, 1.0
[READ], 1273, 1.0
[READ], 1276, 1.0
[READ], 1304, 1.0
[READ], 1499, 1.0
[READ], 1612, 1.0
[READ], 1658, 1.0
[READ], 1723, 1.0
[READ], 1823, 1.0
[READ], 2011, 1.0
[READ], 2351, 1.0
[READ], 2385, 1.0
[READ], 2921, 1.0
[READ], 3369, 1.0
[READ], 3601, 1.0
[READ], 3823, 1.0
[READ], 4447, 1.0
[READ], 6483, 1.0
[READ], 17519, 1.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 1785.0
[CLEANUP], MinLatency(us), 1785
[CLEANUP], MaxLatency(us), 1785
[CLEANUP], 95thPercentileLatency(us), 1785
[CLEANUP], 99thPercentileLatency(us), 1785
[CLEANUP], 1785, 1.0
