Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1154
[OVERALL], Throughput(ops/sec), 866.5511265164645
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 946
[READ], AverageLatency(us), 498.8171247357294
[READ], MinLatency(us), 207
[READ], MaxLatency(us), 16687
[READ], 95thPercentileLatency(us), 812
[READ], 99thPercentileLatency(us), 1697
[READ], Return=OK, 946
[READ], 207, 2.0
[READ], 209, 1.0
[READ], 212, 1.0
[READ], 214, 4.0
[READ], 215, 3.0
[READ], 216, 1.0
[READ], 217, 1.0
[READ], 218, 2.0
[READ], 219, 4.0
[READ], 220, 1.0
[READ], 221, 3.0
[READ], 222, 2.0
[READ], 223, 1.0
[READ], 224, 3.0
[READ], 225, 3.0
[READ], 226, 1.0
[READ], 228, 2.0
[READ], 229, 1.0
[READ], 230, 3.0
[READ], 231, 2.0
[READ], 232, 3.0
[READ], 234, 3.0
[READ], 235, 1.0
[READ], 236, 2.0
[READ], 237, 1.0
[READ], 238, 2.0
[READ], 239, 1.0
[READ], 241, 1.0
[READ], 242, 2.0
[READ], 243, 4.0
[READ], 244, 2.0
[READ], 245, 2.0
[READ], 246, 2.0
[READ], 247, 3.0
[READ], 249, 2.0
[READ], 251, 2.0
[READ], 252, 3.0
[READ], 253, 1.0
[READ], 254, 2.0
[READ], 255, 4.0
[READ], 256, 3.0
[READ], 257, 3.0
[READ], 258, 2.0
[READ], 259, 1.0
[READ], 260, 1.0
[READ], 261, 2.0
[READ], 262, 1.0
[READ], 264, 1.0
[READ], 265, 2.0
[READ], 266, 4.0
[READ], 268, 2.0
[READ], 270, 1.0
[READ], 271, 1.0
[READ], 273, 1.0
[READ], 274, 1.0
[READ], 275, 3.0
[READ], 276, 1.0
[READ], 277, 1.0
[READ], 278, 1.0
[READ], 279, 3.0
[READ], 281, 4.0
[READ], 282, 2.0
[READ], 283, 3.0
[READ], 284, 2.0
[READ], 285, 1.0
[READ], 290, 1.0
[READ], 291, 2.0
[READ], 292, 4.0
[READ], 293, 6.0
[READ], 295, 1.0
[READ], 296, 2.0
[READ], 297, 1.0
[READ], 299, 1.0
[READ], 300, 1.0
[READ], 301, 2.0
[READ], 302, 1.0
[READ], 304, 2.0
[READ], 305, 2.0
[READ], 306, 1.0
[READ], 307, 3.0
[READ], 308, 2.0
[READ], 309, 3.0
[READ], 310, 3.0
[READ], 311, 3.0
[READ], 312, 3.0
[READ], 313, 5.0
[READ], 314, 2.0
[READ], 315, 3.0
[READ], 316, 3.0
[READ], 317, 1.0
[READ], 319, 3.0
[READ], 320, 1.0
[READ], 321, 1.0
[READ], 322, 5.0
[READ], 323, 1.0
[READ], 324, 4.0
[READ], 325, 3.0
[READ], 326, 2.0
[READ], 327, 4.0
[READ], 328, 4.0
[READ], 329, 1.0
[READ], 330, 3.0
[READ], 331, 2.0
[READ], 332, 3.0
[READ], 333, 2.0
[READ], 334, 5.0
[READ], 335, 1.0
[READ], 336, 5.0
[READ], 337, 6.0
[READ], 338, 3.0
[READ], 339, 7.0
[READ], 340, 1.0
[READ], 341, 4.0
[READ], 342, 1.0
[READ], 343, 1.0
[READ], 345, 4.0
[READ], 346, 6.0
[READ], 347, 1.0
[READ], 348, 2.0
[READ], 349, 3.0
[READ], 350, 3.0
[READ], 351, 3.0
[READ], 352, 2.0
[READ], 353, 3.0
[READ], 354, 4.0
[READ], 355, 2.0
[READ], 356, 2.0
