Adding shard node URL: jdbc:mysql://127.0.0.1:3306/ycsb?serverTimezone=UTC
Using shards: 1, batchSize:1000, fetchSize: 10
[OVERALL], RunTime(ms), 1399
[OVERALL], Throughput(ops/sec), 714.7962830593281
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[READ], Operations, 1000
[READ], AverageLatency(us), 454.106
[READ], MinLatency(us), 222
[READ], MaxLatency(us), 17199
[READ], 95thPercentileLatency(us), 733
[READ], 99thPercentileLatency(us), 1094
[READ], Return=OK, 1000
[READ], 222, 2.0
[READ], 223, 1.0
[READ], 225, 2.0
[READ], 226, 1.0
[READ], 230, 1.0
[READ], 231, 1.0
[READ], 232, 1.0
[READ], 233, 1.0
[READ], 235, 1.0
[READ], 236, 1.0
[READ], 238, 1.0
[READ], 239, 3.0
[READ], 240, 1.0
[READ], 241, 4.0
[READ], 243, 2.0
[READ], 245, 2.0
[READ], 246, 2.0
[READ], 249, 3.0
[READ], 250, 2.0
[READ], 251, 1.0
[READ], 252, 2.0
[READ], 253, 1.0
[READ], 255, 1.0
[READ], 256, 1.0
[READ], 257, 1.0
[READ], 258, 1.0
[READ], 259, 2.0
[READ], 260, 2.0
[READ], 261, 2.0
[READ], 263, 1.0
[READ], 264, 2.0
[READ], 268, 1.0
[READ], 269, 2.0
[READ], 270, 2.0
[READ], 271, 1.0
[READ], 272, 3.0
[READ], 273, 4.0
[READ], 276, 5.0
[READ], 277, 4.0
[READ], 278, 1.0
[READ], 279, 6.0
[READ], 280, 3.0
[READ], 281, 4.0
[READ], 282, 3.0
[READ], 283, 4.0
[READ], 284, 8.0
[READ], 285, 1.0
[READ], 286, 1.0
[READ], 287, 5.0
[READ], 288, 7.0
[READ], 289, 2.0
[READ], 290, 3.0
[READ], 291, 3.0
[READ], 292, 2.0
[READ], 293, 4.0
[READ], 294, 2.0
[READ], 295, 1.0
[READ], 296, 4.0
[READ], 297, 4.0
[READ], 298, 1.0
[READ], 300, 2.0
[READ], 302, 6.0
[READ], 303, 3.0
[READ], 304, 3.0
[READ], 305, 5.0
[READ], 306, 4.0
[READ], 307, 3.0
[READ], 308, 3.0
[READ], 310, 3.0
[READ], 311, 2.0
[READ], 312, 3.0
[READ], 313, 5.0
[READ], 314, 7.0
[READ], 315, 1.0
[READ], 316, 4.0
[READ], 317, 3.0
[READ], 318, 5.0
[READ], 319, 2.0
[READ], 320, 6.0
[READ], 321, 3.0
[READ], 322, 6.0
[READ], 323, 3.0
[READ], 324, 4.0
[READ], 325, 3.0
[READ], 326, 4.0
[READ], 327, 3.0
[READ], 328, 5.0
[READ], 329, 5.0
[READ], 330, 3.0
[READ], 331, 5.0
[READ], 332, 3.0
[READ], 333, 4.0
[READ], 334, 3.0
[READ], 335, 6.0
[READ], 336, 4.0
[READ], 337, 6.0
[READ], 338, 5.0
[READ], 339, 4.0
[READ], 340, 2.0
[READ], 341, 4.0
[READ], 342, 3.0
[READ], 343, 2.0
[READ], 344, 5.0
[READ], 345, 1.0
[READ], 346, 4.0
[READ], 347, 8.0
[READ], 348, 8.0
[READ], 349, 4.0
[READ], 350, 2.0
[READ], 351, 5.0
[READ], 352, 6.0
[READ], 353, 6.0
[READ], 354, 5.0
[READ], 355, 2.0
[READ], 356, 8.0
[READ], 357, 5.0
[READ], 358, 6.0
[READ], 359, 3.0
[READ], 360, 3.0
[READ], 361, 4.0
[READ], 362, 5.0
[READ], 363, 4.0
[READ], 364, 6.0
[READ], 365, 7.0
[READ], 366, 4.0
[READ], 367, 4.0
[READ], 368, 6.0
[READ], 369, 2.0
[READ], 370, 4.0
[READ], 371, 2.0
[READ], 372, 4.0
[READ], 373, 5.0
[READ], 374, 8.0
[READ], 375, 2.0
[READ], 376, 1.0
[READ], 377, 5.0
[READ], 378, 6.0
[READ], 379, 6.0
[READ], 380, 5.0
[READ], 381, 5.0
[READ], 382, 11.0
[READ], 383, 5.0
[READ], 384, 7.0
[READ], 385, 5.0
[READ], 386, 6.0
[READ], 387, 1.0
[READ], 388, 5.0
[READ], 389, 6.0
[READ], 390, 6.0
[READ], 391, 4.0
[READ], 392, 4.0
[READ], 393, 1.0
[READ], 394, 8.0
[READ], 395, 3.0
[READ], 396, 3.0
[READ], 397, 3.0
[READ], 398, 5.0
[READ], 399, 2.0
[READ], 400, 1.0
[READ], 401, 3.0
[READ], 402, 3.0
[READ], 403, 2.0
[READ], 404, 2.0
[READ], 405, 2.0
[READ], 406, 2.0
[READ], 407, 4.0
[READ], 408, 3.0
[READ], 409, 5.0
[READ], 410, 3.0
[READ], 411, 2.0
[READ], 412, 6.0
[READ], 413, 3.0
[READ], 414, 6.0
[READ], 415, 3.0
[READ], 416, 3.0
[READ], 417, 2.0
[READ], 418, 2.0
[READ], 419, 3.0
[READ], 421, 3.0
[READ], 422, 2.0
[READ], 423, 5.0
[READ], 424, 2.0
[READ], 425, 2.0
[READ], 426, 1.0
[READ], 427, 5.0
[READ], 429, 2.0
[READ], 431, 4.0
[READ], 432, 2.0
[READ], 433, 3.0
[READ], 434, 3.0
[READ], 435, 1.0
[READ], 436, 2.0
[READ], 438, 4.0
[READ], 439, 3.0
[READ], 440, 2.0
[READ], 441, 1.0
[READ], 442, 4.0
[READ], 443, 1.0
[READ], 444, 1.0
[READ], 445, 2.0
[READ], 446, 3.0
[READ], 447, 4.0
[READ], 448, 1.0
[READ], 449, 1.0
[READ], 450, 4.0
[READ], 452, 2.0
[READ], 453, 1.0
[READ], 454, 2.0
[READ], 455, 1.0
[READ], 457, 1.0
[READ], 458, 3.0
[READ], 459, 3.0
[READ], 461, 1.0
[READ], 462, 1.0
[READ], 463, 4.0
[READ], 464, 1.0
[READ], 465, 5.0
[READ], 466, 3.0
[READ], 467, 1.0
[READ], 468, 2.0
[READ], 469, 3.0
[READ], 471, 2.0
[READ], 472, 3.0
[READ], 473, 2.0
[READ], 474, 3.0
[READ], 475, 1.0
[READ], 476, 2.0
[READ], 477, 1.0
[READ], 478, 2.0
[READ], 479, 3.0
[READ], 480, 2.0
[READ], 481, 4.0
[READ], 482, 2.0
[READ], 483, 1.0
[READ], 484, 3.0
[READ], 485, 1.0
[READ], 486, 1.0
[READ], 487, 2.0
[READ], 488, 4.0
[READ], 489, 1.0
[READ], 490, 1.0
[READ], 491, 2.0
[READ], 492, 1.0
[READ], 493, 2.0
[READ], 495, 1.0
[READ], 497, 4.0
[READ], 498, 1.0
[READ], 499, 3.0
[READ], 501, 2.0
[READ], 502, 4.0
[READ], 504, 4.0
[READ], 506, 1.0
[READ], 507, 1.0
[READ], 508, 2.0
[READ], 509, 1.0
[READ], 510, 2.0
[READ], 511, 2.0
[READ], 512, 1.0
[READ], 513, 1.0
[READ], 514, 2.0
[READ], 516, 2.0
[READ], 518, 1.0
[READ], 521, 2.0
[READ], 522, 3.0
[READ], 523, 4.0
[READ], 524, 3.0
[READ], 525, 2.0
[READ], 526, 1.0
[READ], 527, 3.0
[READ], 532, 2.0
[READ], 533, 1.0
[READ], 536, 2.0
[READ], 538, 2.0
[READ], 540, 2.0
[READ], 541, 1.0
[READ], 542, 1.0
[READ], 543, 1.0
[READ], 544, 1.0
[READ], 545, 2.0
[READ], 546, 3.0
[READ], 547, 1.0
[READ], 548, 2.0
[READ], 550, 2.0
[READ], 552, 1.0
[READ], 553, 1.0
[READ], 554, 2.0
[READ], 555, 1.0
[READ], 556, 2.0
[READ], 559, 1.0
[READ], 561, 1.0
[READ], 565, 3.0
[READ], 567, 2.0
[READ], 570, 1.0
[READ], 574, 1.0
[READ], 577, 2.0
[READ], 580, 2.0
[READ], 585, 3.0
[READ], 586, 1.0
[READ], 587, 1.0
[READ], 589, 3.0
[READ], 592, 1.0
[READ], 593, 1.0
[READ], 594, 1.0
[READ], 597, 2.0
[READ], 599, 1.0
[READ], 600, 1.0
[READ], 603, 3.0
[READ], 607, 1.0
[READ], 609, 3.0
[READ], 610, 3.0
[READ], 611, 1.0
[READ], 613, 3.0
[READ], 615, 1.0
[READ], 616, 1.0
[READ], 620, 2.0
[READ], 624, 1.0
[READ], 626, 1.0
[READ], 627, 1.0
[READ], 630, 1.0
[READ], 635, 3.0
[READ], 636, 1.0
[READ], 637, 1.0
[READ], 638, 2.0
[READ], 641, 1.0
[READ], 642, 1.0
[READ], 650, 1.0
[READ], 651, 1.0
[READ], 652, 1.0
[READ], 653, 1.0
[READ], 657, 1.0
[READ], 660, 1.0
[READ], 662, 1.0
[READ], 664, 1.0
[READ], 665, 2.0
[READ], 668, 2.0
[READ], 669, 3.0
[READ], 670, 1.0
[READ], 672, 1.0
[READ], 679, 1.0
[READ], 681, 1.0
[READ], 682, 1.0
[READ], 683, 1.0
[READ], 687, 2.0
[READ], 689, 1.0
[READ], 690, 1.0
[READ], 694, 2.0
[READ], 695, 1.0
[READ], 698, 1.0
[READ], 699, 1.0
[READ], 702, 1.0
[READ], 712, 2.0
[READ], 715, 1.0
[READ], 717, 1.0
[READ], 724, 1.0
[READ], 725, 1.0
[READ], 728, 1.0
[READ], 733, 1.0
[READ], 734, 2.0
[READ], 737, 1.0
[READ], 741, 2.0
[READ], 743, 1.0
[READ], 748, 1.0
[READ], 752, 1.0
[READ], 756, 1.0
[READ], 757, 1.0
[READ], 758, 1.0
[READ], 768, 1.0
[READ], 771, 1.0
[READ], 775, 1.0
[READ], 783, 1.0
[READ], 786, 1.0
[READ], 787, 1.0
[READ], 793, 1.0
[READ], 795, 1.0
[READ], 799, 1.0
[READ], 808, 1.0
[READ], 836, 1.0
[READ], 841, 1.0
[READ], 842, 1.0
[READ], 852, 1.0
[READ], 860, 1.0
[READ], 862, 1.0
[READ], 868, 1.0
[READ], 875, 1.0
[READ], 902, 1.0
[READ], 903, 1.0
[READ], 932, 1.0
[READ], 934, 1.0
[READ], 961, 1.0
[READ], 968, 1.0
[READ], 970, 1.0
[READ], 984, 1.0
[READ], 1048, 2.0
[READ], 1094, 1.0
[READ], 1107, 1.0
[READ], 1261, 1.0
[READ], 1306, 1.0
[READ], 1675, 1.0
[READ], 1782, 1.0
[READ], 1871, 1.0
[READ], 2223, 1.0
[READ], 3673, 1.0
[READ], 4387, 1.0
[READ], 17199, 1.0
[READ-MODIFY-WRITE], Operations, 497
[READ-MODIFY-WRITE], AverageLatency(us), 1144.7122736418512
[READ-MODIFY-WRITE], MinLatency(us), 723
[READ-MODIFY-WRITE], MaxLatency(us), 19215
[READ-MODIFY-WRITE], 95thPercentileLatency(us), 1710
[READ-MODIFY-WRITE], 99thPercentileLatency(us), 2889
[READ-MODIFY-WRITE], 723, 1.0
[READ-MODIFY-WRITE], 733, 2.0
